StudyHours, Attendance, PastScore, Internet, SleepHours, Passed
1,57,77,No,4,Yes
5,62,33,Yes,5,Yes
6,86,66,Yes,7,No
6,51,37,Yes,4,Yes
3,90,30,Yes,4,No
7,60,76,No,4,No
9,73,34,Yes,6,No
8,55,79,Yes,7,No
6,75,53,Yes,6,Yes
8,56,76,Yes,4,No
5,88,47,Yes,6,Yes
8,68,57,No,5,No
4,55,34,Yes,6,No
8,92,59,Yes,8,Yes
2,78,30,No,4,Yes
5,92,75,Yes,4,No
9,88,60,Yes,7,Yes
4,51,85,No,5,No
6,68,57,No,7,Yes
1,53,45,No,6,No
9,55,83,No,8,Yes
1,98,82,No,8,Yes
5,86,41,No,8,No
4,77,49,No,8,No
3,79,63,No,5,No
6,56,82,No,6,Yes
2,58,93,No,8,Yes
3,74,52,Yes,4,No
5,82,56,No,6,Yes
9,50,46,No,5,No
2,55,77,No,8,Yes
8,67,50,No,5,Yes
2,59,79,No,8,Yes
5,77,69,Yes,4,No
7,60,32,Yes,6,Yes
8,82,46,Yes,4,Yes
1,50,90,No,8,Yes
6,62,79,No,7,Yes
1,86,35,Yes,6,No
2,69,57,No,5,Yes
1,50,84,No,8,Yes
5,52,87,Yes,4,Yes
9,67,74,No,7,Yes
6,90,48,No,8,No
1,63,58,No,5,Yes
1,80,52,No,4,Yes
2,76,61,No,6,Yes
9,66,39,No,7,Yes
3,95,78,No,8,No
1,78,94,Yes,8,Yes
5,85,58,Yes,8,Yes
7,86,88,No,8,No
6,75,74,No,4,Yes
1,66,80,Yes,6,No
5,71,40,Yes,5,Yes
5,74,35,Yes,7,Yes
6,51,91,Yes,8,Yes
3,71,34,Yes,8,Yes
5,54,38,Yes,6,Yes
7,53,57,Yes,6,Yes
5,85,67,No,4,Yes
5,55,72,Yes,4,Yes
5,70,50,Yes,4,Yes
3,62,91,Yes,7,Yes
1,86,75,No,4,Yes
5,74,67,No,8,Yes
9,75,78,No,4,No
1,88,68,Yes,7,Yes
3,69,59,Yes,4,No
4,82,50,Yes,4,No
1,63,30,No,8,Yes
1,85,61,No,8,No
8,66,37,No,8,Yes
2,70,59,No,4,Yes
8,95,37,No,8,No
7,65,48,No,6,No
2,95,88,Yes,5,No
6,65,84,No,5,Yes
6,69,59,No,8,No
3,78,65,No,7,No
2,77,84,No,8,No
1,57,73,Yes,8,Yes
6,73,56,Yes,4,Yes
5,52,83,No,7,No
9,74,77,Yes,8,No
1,68,59,Yes,6,No
7,82,68,Yes,5,No
5,51,42,Yes,6,No
5,64,45,Yes,6,No
2,71,73,Yes,6,No
3,59,56,Yes,7,Yes
7,67,74,No,7,No
6,71,64,Yes,7,No
2,95,57,No,5,Yes
6,98,36,Yes,4,No
2,76,91,Yes,8,Yes
2,62,80,Yes,8,No
2,82,75,No,4,Yes
3,54,49,Yes,8,No
2,75,67,No,6,No
4,62,90,Yes,5,Yes
9,76,61,Yes,8,Yes
6,63,55,No,5,Yes
1,73,87,Yes,4,No
8,52,68,Yes,8,No
7,96,49,Yes,5,No
3,98,79,No,6,No
1,79,81,Yes,6,No
5,84,51,Yes,4,Yes
4,97,82,Yes,7,No
8,63,72,No,8,Yes
1,61,52,Yes,6,Yes
1,77,93,No,6,No
4,93,38,Yes,4,No
8,78,36,Yes,6,Yes
5,92,70,No,8,No
2,66,83,No,4,Yes
6,89,94,No,5,No
5,98,31,No,4,Yes
2,70,33,No,8,No
3,72,61,Yes,8,No
9,69,31,Yes,5,No
7,60,93,No,4,Yes
7,83,43,Yes,8,No
6,59,49,Yes,8,Yes
8,59,78,No,5,No
4,92,37,No,7,No
8,55,92,No,4,Yes
4,85,75,Yes,8,Yes
8,73,50,No,6,Yes
9,61,61,Yes,5,No
3,92,37,No,7,No
3,72,45,No,7,No
2,76,69,No,5,No
3,94,56,No,7,No
3,86,47,Yes,8,No
5,55,64,Yes,7,No
5,50,81,Yes,4,Yes
2,55,44,No,6,No
6,99,92,Yes,8,Yes
5,71,82,Yes,5,No
6,90,60,Yes,6,Yes
1,73,90,No,8,Yes
5,74,93,Yes,6,Yes
9,64,63,No,7,No
2,75,84,No,5,Yes
1,57,88,Yes,5,Yes
9,73,32,Yes,4,Yes
9,97,46,No,7,Yes
9,87,75,No,4,No
6,55,67,No,4,No
8,84,64,Yes,7,No
1,91,30,No,8,No
4,50,58,No,4,Yes
1,95,33,No,6,No
8,85,90,Yes,8,Yes
1,61,46,No,7,No
3,87,57,No,5,Yes
4,60,79,No,8,Yes
8,61,37,No,4,Yes
6,91,63,No,6,Yes
7,99,88,Yes,7,No
8,88,47,Yes,5,No
2,56,88,No,6,Yes
8,60,56,No,5,Yes
3,85,45,No,7,No
7,80,39,No,8,No
3,82,51,No,4,No
7,62,45,No,7,Yes
2,67,41,Yes,6,Yes
6,90,80,No,8,Yes
3,73,30,No,5,Yes
3,58,56,Yes,8,No
9,80,41,Yes,8,Yes
7,90,59,Yes,6,No
5,59,38,Yes,4,Yes
7,51,82,No,8,No
9,87,90,Yes,8,Yes
1,64,83,Yes,4,No
7,52,66,Yes,4,No
6,92,94,No,5,Yes
9,80,71,No,5,No
1,55,78,No,4,No
4,52,33,Yes,7,No
9,60,93,No,4,Yes
4,64,80,Yes,5,Yes
3,94,89,Yes,6,Yes
9,77,60,Yes,6,Yes
2,59,87,Yes,8,No
4,87,33,No,6,No
6,96,51,No,5,Yes
2,99,32,No,6,No
8,99,76,No,7,Yes
8,56,67,Yes,4,Yes
1,64,62,Yes,4,No
3,67,77,Yes,5,Yes
9,67,94,Yes,8,No
5,90,55,Yes,4,Yes
6,73,37,No,6,Yes
4,51,79,No,7,Yes
2,89,67,Yes,8,No
8,69,39,Yes,8,Yes
6,83,71,No,8,No
5,92,66,No,4,Yes
9,75,55,Yes,8,Yes
1,56,41,No,5,No
5,87,78,No,6,No
6,79,43,Yes,7,No
5,91,75,Yes,6,No
6,54,64,No,5,No
6,60,58,No,5,No
7,50,41,Yes,6,Yes
4,83,73,No,4,No
8,50,31,No,5,Yes
7,68,88,No,8,Yes
9,51,46,Yes,7,Yes
7,70,39,No,7,No
3,69,47,No,5,Yes
3,72,51,Yes,8,Yes
8,70,87,Yes,6,Yes
5,73,82,No,7,No
4,53,30,Yes,8,Yes
8,61,90,Yes,8,No
6,71,60,No,4,Yes
2,69,60,Yes,5,No
4,67,48,No,8,No
4,50,82,No,6,Yes
6,79,51,Yes,7,Yes
6,82,52,No,4,No
1,73,44,No,6,No
8,63,55,No,7,No
6,85,32,No,5,Yes
3,54,49,No,6,Yes
9,60,69,Yes,7,Yes
2,73,68,Yes,4,Yes
8,80,47,No,7,Yes
3,62,70,No,8,No
5,65,56,Yes,4,No
6,73,44,No,6,No
6,62,66,No,5,No
4,73,87,No,4,No
3,75,34,Yes,4,No
4,51,36,No,4,Yes
1,65,70,Yes,7,No
4,87,39,No,8,Yes
1,95,91,No,5,Yes
1,50,55,Yes,5,Yes
6,98,53,Yes,8,Yes
5,60,70,No,7,No
4,84,94,No,7,No
3,92,46,No,8,Yes
1,78,53,Yes,8,Yes
6,86,56,No,6,No
2,66,36,Yes,7,No
8,88,41,No,4,No
5,91,32,No,5,Yes
7,77,39,No,7,No
2,78,62,No,8,No
8,92,75,No,4,Yes
2,52,88,No,6,Yes
4,59,81,No,6,No
1,91,35,Yes,4,Yes
5,63,31,No,4,Yes
9,61,58,No,8,Yes
1,96,69,No,8,Yes
9,91,90,No,5,Yes
8,79,58,Yes,5,No
6,81,91,Yes,6,No
7,81,89,No,4,No
3,91,70,No,6,No
1,81,94,Yes,8,No
5,75,93,Yes,7,Yes
2,50,92,Yes,8,No
5,91,77,No,7,No
8,51,49,Yes,4,Yes
9,66,66,Yes,4,No
2,79,93,No,4,No
3,88,34,No,5,No
3,56,63,No,5,No
1,76,68,Yes,7,Yes
8,58,91,Yes,6,Yes
6,71,53,Yes,6,Yes
8,83,32,Yes,7,Yes
9,95,79,No,5,No
5,98,58,Yes,8,No
3,50,61,No,7,No
5,58,68,Yes,6,No
5,69,38,Yes,7,No
5,68,43,Yes,7,No
3,85,93,No,4,No
4,89,49,Yes,5,Yes
9,94,57,No,4,Yes
9,53,43,No,5,Yes
2,58,73,No,7,Yes
8,90,68,No,5,Yes
8,71,57,Yes,6,Yes
7,67,93,Yes,4,Yes
8,61,61,No,7,No
3,91,38,No,6,No
6,92,57,Yes,5,No
1,88,46,Yes,5,No
7,58,84,No,6,Yes
1,55,39,Yes,5,Yes
9,68,35,Yes,4,Yes
1,97,77,Yes,8,Yes
1,96,70,No,5,No
7,56,89,No,7,No
2,65,71,No,5,No
5,54,57,No,7,No
8,65,42,No,5,Yes
8,50,44,Yes,5,Yes
3,86,65,Yes,7,No
7,88,44,Yes,4,No
3,68,85,No,8,No
6,86,33,Yes,8,No
6,66,81,No,4,No
3,75,39,No,5,No
7,71,74,No,8,Yes
3,57,58,No,4,Yes
8,82,82,No,4,No
4,51,58,No,8,Yes
1,79,52,Yes,7,Yes
4,96,86,No,6,Yes
7,69,79,Yes,7,No
4,67,50,No,5,Yes
6,92,72,Yes,7,Yes
9,59,39,No,6,Yes
1,73,59,No,6,Yes
5,53,80,Yes,4,Yes
7,86,62,No,5,Yes
1,53,47,No,4,Yes
4,62,51,Yes,7,No
6,74,93,Yes,7,Yes
2,62,50,No,8,Yes
5,67,30,Yes,4,Yes
1,73,44,Yes,4,No
6,51,65,No,4,Yes
6,97,76,Yes,4,No
4,82,83,No,6,Yes
8,68,61,Yes,8,No
4,58,87,No,5,No
8,77,75,No,5,No
8,84,83,No,5,Yes
5,88,62,Yes,6,No
4,59,68,No,8,Yes
2,50,52,Yes,8,Yes
3,91,72,No,6,Yes
3,70,84,No,4,No
4,58,31,No,7,Yes
4,96,67,Yes,4,No
5,64,58,No,5,Yes
4,84,65,No,4,Yes
8,54,58,Yes,6,Yes
6,90,66,No,5,Yes
6,71,74,No,7,Yes
8,90,45,Yes,5,Yes
7,72,60,Yes,4,Yes
8,56,63,Yes,8,No
2,72,79,No,8,Yes
9,93,94,Yes,8,Yes
1,74,91,No,5,No
8,76,72,No,8,No
4,90,85,Yes,6,No
4,55,44,Yes,7,Yes
5,83,77,No,8,No
8,58,78,Yes,6,Yes
5,98,73,Yes,6,No
8,82,39,No,5,Yes
1,55,49,Yes,5,No
9,86,37,Yes,7,Yes
6,80,74,Yes,7,Yes
3,83,63,No,4,Yes
8,90,80,Yes,7,No
9,78,33,Yes,5,No
6,63,68,No,6,No
7,85,53,No,4,No
1,85,84,No,7,No
5,64,55,No,6,Yes
5,57,54,Yes,5,No
4,75,65,No,8,Yes
6,85,87,No,4,Yes
7,97,41,Yes,6,Yes
9,70,30,No,5,Yes
1,77,79,No,5,No
6,53,54,Yes,4,No
7,65,34,No,4,No
3,71,35,No,7,No
8,61,55,Yes,7,No
5,65,84,Yes,4,No
9,89,68,Yes,4,Yes
5,87,38,Yes,6,No
9,91,74,Yes,7,Yes
4,86,43,Yes,5,Yes
9,78,84,Yes,7,Yes
5,67,38,Yes,7,Yes
9,59,44,Yes,4,No
3,91,66,Yes,4,No
4,88,79,Yes,7,Yes
9,67,50,Yes,8,No
6,50,86,No,8,Yes
2,88,48,Yes,7,Yes
7,70,87,Yes,8,Yes
2,50,35,Yes,7,Yes
2,64,33,Yes,4,No
1,53,72,Yes,4,Yes
3,69,71,No,4,No
6,59,32,No,5,Yes
8,72,30,No,4,No
9,90,84,No,4,No
7,83,44,Yes,7,No
4,95,76,No,8,Yes
6,97,75,No,8,Yes
5,82,87,Yes,4,No
8,83,68,No,4,No
1,88,32,No,4,Yes
1,59,59,Yes,7,No
6,69,64,Yes,7,No
2,50,86,No,7,No
5,62,58,Yes,8,Yes
1,50,79,No,5,Yes
7,54,91,Yes,8,Yes
1,65,81,No,7,Yes
4,64,43,No,6,Yes
9,98,64,No,5,Yes
1,77,57,Yes,4,No
4,80,87,Yes,8,No
6,72,59,No,5,No
6,97,36,Yes,6,No
8,94,68,Yes,5,No
1,92,64,No,8,No
7,66,81,Yes,7,Yes
1,98,43,Yes,4,No
7,83,92,No,7,No
3,62,65,No,7,Yes
8,63,53,Yes,8,Yes
3,60,69,Yes,7,No
1,77,58,Yes,7,No
8,91,82,No,8,No
3,81,51,Yes,8,Yes
2,84,44,Yes,6,Yes
1,80,93,Yes,7,Yes
3,66,33,Yes,5,Yes
2,96,47,Yes,4,No
2,58,71,Yes,4,No
6,59,59,No,8,No
